CommandIndex,MoveReqFrame,MoveReqTime_s,TargetPosition,PrevReadFrame,PrevReadTime_s,PrevReadActualPosition,DeltaPrevReadToCmd_ms,MoveRspFrame,MoveRspTime_s,MoveReqToRsp_ms,FirstChangedReadFrame,FirstChangedReadTime_s,FirstChangedActualPosition,CmdToFirstChange_ms,DeltaAtFirstChange
1,5,0.2244578,8388608.0,,,,,6,0.2252554,0.7975999999999817,,,,,
2,359,0.5340901,0.0,358,0.5339612,8388580.0,0.12889999999998736,360,0.5347295,0.6393999999999567,362,0.535484,8390654.0,1.393899999999948,2074.0
3,691,0.8247759,8388608.0,688,0.8238916,43.0,0.88430000000006,692,0.8254649,0.6889999999999397,694,0.8262854,-1373.0,1.5094999999999414,-1416.0
4,1065,1.1597439,0.0,1064,1.1596617,8388619.0,0.08220000000003225,1066,1.1603628,0.6188999999998668,1068,1.1611077,8388447.0,1.363800000000026,-172.0
5,1411,1.4695626,8388608.0,1408,1.4687425,56.0,0.8200999999998793,1412,1.4702413,0.6787000000001431,1414,1.4711263,-71.0,1.5637000000001677,-127.0
6,1849,1.8607932,0.0,1848,1.8606735,8388593.0,0.11969999999994485,1850,1.8615142,0.7209999999999717,1852,1.8623746,8388547.0,1.581400000000066,-46.0
7,2435,2.3716611,8388608.0,2432,2.370897,-67.0,0.7641000000000453,2436,2.3722872,0.6261000000002959,2438,2.3729816,-180.0,1.3205000000002798,-113.0
8,2971,2.8319752,0.0,2970,2.8319046,8388573.0,0.07059999999992073,2972,2.8325965,0.6213000000001578,2974,2.8332808,8389381.0,1.3055999999997958,808.0
9,3515,3.3017868,8388608.0,3512,3.3010731,57.0,0.7136999999999283,3516,3.3024062,0.6194000000001587,3518,3.3031145,-27.0,1.3277000000000427,-84.0
10,3887,3.6191388,0.0,3886,3.6190696,8388566.0,0.06919999999999149,3888,3.6197552,0.6164000000001835,3890,3.6204507,8388824.0,1.3119000000001435,258.0
