packet_no,rel_ms,src_ip,src_port,dst_ip,dst_port,payload_len,packet_type,command_id_hex,response_to_packet_no,response_latency_ms,payload_hex,move_position,move_velocity,move_acceleration,move_deceleration,move_jerk,move_direction,move_buffer_mode,fb_handle,fb_status,fb_status_flags,fb_error,read_state_hex,read_state_flags,readstatus_status,readstatus_error,readstatus_axis_error,readstatus_statusword_hex,note
7,0.000,192.168.1.13,6713,192.168.1.3,4000,64,MoveAbsoluteEx Request,0x209F,,,9f2000003800000000000000000060410000005055558741000080a6aa3af241000080a6aa3af2410000205055c9264202000000010000000100000000000000,8388608.000000,48933546.000000,4893354600.000000,4893354600.000000,48933546000.000000,2,1,,,,,,,,,,,payloadSize=56;axisRef=0
8,673.200,192.168.1.3,4000,192.168.1.13,6713,16,MoveAbsoluteEx Response,0x209F,7,673.200,0000080000000000f0a10b0000000000,,,,,,,,762352,0,,0,,,,,,,moveReqToRespMs=673.200
9,963.700,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
10,1596.300,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,9,632.600,00000c000000000042000040000000000000b712,,,,,,,,,,,,0x40000042,ACCELERATING|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=1596.300
11,2696.900,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
12,3765.800,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,11,1068.900,00000c000000000042000040000000000000b712,,,,,,,,,,,,0x40000042,ACCELERATING|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=3765.800
13,4879.900,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
14,5565.800,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,13,685.900,00000c000000000042000040000000000000b712,,,,,,,,,,,,0x40000042,ACCELERATING|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=5565.800
15,6697.300,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
16,7341.000,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,15,643.700,00000c000000000042000040000000000000b712,,,,,,,,,,,,0x40000042,ACCELERATING|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=7341.000
17,8459.500,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
18,9105.600,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,17,646.100,00000c000000000042000040000000000000b712,,,,,,,,,,,,0x40000042,ACCELERATING|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=9105.600
