Elmo txt chart ver 2.0

[File Properties]
Creation Time,2026-04-14 05:32:28
Last Updated,2026-04-14 05:32:28
Resolution,0.001
Sampling Time,0.001
Recording Time,5.001
Trigger Location Index,0

[Chart Properties]
No.,Name,X Linear,Dimension,Min X Scale,Max X Scale,Min Y Scale,Max Y Scale
1,Chart #1,True,1D,1.07659902693723,1.37682449270203,-564358.680457612,8690444.52773893

[Chart Data]
Display No.,X No.,Y No.,Z No.,X Unit,Y Unit,Color,Style,Width,Hex Display,X Hex Display,Z Hex Display,Zero Scale
1,1,2,0,sec,N/A,ff0000ff,Solid,TwoPoint,Dec,Dec,Dec,False
1,1,3,0,sec,N/A,ff007f00,Solid,TwoPoint,Dec,Dec,Dec,False
1,1,4,0,sec,N/A,ffff0000,Solid,TwoPoint,Dec,Dec,Dec,False

[Signal Names]
1,Time (sec),False
2,a01.Position Command (0x607A) [cnt],False
3,a01.Actual Position (0x6064) [cnt],False
4,a01.Target position [cnt],False

[Signals Data Group 1]
1,2,3,4,
0,180338,53712,180337.56,
0.001,200211,66375,200211.295,
0.002,221504,80186,221504,
0.003,244265,95114,244264.605,
0.004,268541,111114,268541.172363737,
0.005,294343,128674,294342.734233077,
0.006,321624,147819,321624.321698397,
0.007,350337,168677,350337.004759697,
0.008,380432,191625,380431.853416976,
0.009,411860,216503,411859.937670235,
0.01,444572,243111,444572.327519474,
0.011,478520,271987,478520.092964692,
0.012,513654,303201,513654.304005891,
0.013,549926,336178,549926.030643069,
0.014,587286,371202,587286.342876226,
0.015,625686,408081,625686.310705364,
0.016,665077,446886,665077.004130481,
0.017,705409,487273,705409.493151577,
0.018,746635,529296,746634.847768654,
0.019,788704,572342,788704.13798171,
0.02,831568,616620,831568.433790746,
0.021,875179,662041,875178.805195761,
0.022,919486,708528,919486.322196756,
0.023,964442,755977,964442.054793731,
0.024,1009997,804007,1009997.07298669,
0.025,1056102,852748,1056102.44677562,
0.026,1102709,901802,1102709.24616053,
0.027,1149769,950933,1149768.54114143,
0.028,1197231,1000276,1197231.4017183,
0.029,1245049,1049527,1245048.89789115,
0.03,1293172,1098662,1293172.09965999,
0.031,1341552,1147454,1341552.0770248,
0.032,1390140,1196178,1390139.89998559,
0.033,1438887,1244837,1438886.63854236,
0.034,1487743,1293222,1487743.36269512,
0.035,1536661,1341951,1536661.14244385,
0.036,1585595,1390467,1585594.51833361,
0.037,1634528,1438681,1634528.01833361,
0.038,1683462,1486505,1683461.51833361,
0.039,1732395,1534037,1732395.01833361,
0.04,1781329,1581312,1781328.51833361,
0.041,1830262,1628525,1830262.01833361,
0.042,1879196,1675958,1879195.51833361,
0.043,1928129,1723566,1928129.01833361,
0.044,1977063,1771410,1977062.51833361,
0.045,2025996,1819264,2025996.01833361,
0.046,2074930,1867357,2074929.51833361,
0.047,2123863,1915493,2123863.01833361,
0.048,2172797,1964414,2172796.51833361,
0.049,2221730,2013399,2221730.01833361,
0.05,2270664,2062063,2270663.51833361,
0.051,2319597,2110789,2319597.01833361,
0.052,2368531,2158755,2368530.51833361,
0.053,2417464,2206236,2417464.01833361,
0.054,2466398,2253941,2466397.51833361,
0.055,2515331,2301889,2515331.01833361,
0.056,2564265,2349829,2564264.51833361,
0.057,2613198,2398104,2613198.01833361,
0.058,2662132,2446082,2662131.51833361,
0.059,2711065,2493798,2711065.01833361,
0.06,2759999,2541271,2759998.51833361,
0.061,2808932,2588333,2808932.01833361,
0.062,2857866,2635404,2857865.51833361,
0.063,2906799,2682016,2906799.01833361,
0.064,2955733,2728707,2955732.51833361,
0.065,3004666,2775495,3004666.01833361,
0.066,3053600,2822248,3053599.51833361,
0.067,3102533,2869124,3102533.01833361,
0.068,3151467,2916134,3151466.51833361,
0.069,3200400,2963525,3200400.01833361,
0.07,3249334,3011408,3249333.51833361,
0.071,3298267,3059309,3298267.01833361,
0.072,3347201,3107185,3347200.51833361,
0.073,3396134,3155158,3396134.01833361,
0.074,3445068,3203543,3445067.51833361,
0.075,3494001,3252405,3494001.01833361,
0.076,3542935,3301570,3542934.51833361,
0.077,3591868,3351090,3591868.01833361,
0.078,3640802,3400815,3640801.51833361,
0.079,3689735,3450778,3689735.01833361,
0.08,3738669,3501328,3738668.51833361,
0.081,3787602,3551883,3787602.01833361,
0.082,3836536,3602542,3836535.51833361,
0.083,3885469,3653221,3885469.01833361,
0.084,3934403,3703956,3934402.51833361,
0.085,3983336,3754178,3983336.01833361,
0.086,4032270,3804247,4032269.51833361,
0.087,4081203,3853542,4081203.01833361,
